member_id,age,gender,membership_type,workout_type,workout_duration_minutes,calories_burned,check_in_time,attendance_status
162,61,Male,Monthly,CrossFit,80,553,17:39,Present
163,57,Male,Annual,Yoga,111,1000,17:12,Absent
164,23,Female,Quarterly,Cardio,113,645,15:36,Absent
165,45,Other,Quarterly,CrossFit,59,299,08:57,Absent
166,25,Other,Quarterly,Cardio,81,572,16:00,Present
167,50,Female,Monthly,Cardio,47,278,18:58,Present
168,47,Male,Annual,HIIT,40,227,14:39,Present
169,33,Other,Monthly,CrossFit,39,299,15:27,Present
170,19,Male,Monthly,CrossFit,77,402,13:29,Absent
171,49,Male,Quarterly,HIIT,92,809,12:17,Absent
172,45,Male,Quarterly,Cardio,76,647,11:50,Absent
173,38,Male,Annual,CrossFit,28,200,07:15,Absent
174,22,Other,Monthly,HIIT,109,965,11:53,Present
175,38,Other,Annual,Strength Training,82,560,14:27,Present
176,61,Other,Annual,HIIT,31,246,05:42,Absent
177,25,Female,Quarterly,Strength Training,107,821,16:27,Present
178,41,Other,Annual,CrossFit,47,395,22:22,Absent
179,61,Other,Monthly,Cardio,57,408,21:12,Present
180,38,Other,Quarterly,Strength Training,48,348,18:39,Present
181,54,Other,Quarterly,CrossFit,69,487,19:23,Present
182,58,Female,Annual,Cardio,97,862,09:21,Present
183,63,Male,Monthly,Yoga,55,525,07:18,Absent
184,45,Male,Annual,Cardio,118,775,17:42,Absent
185,30,Other,Quarterly,Yoga,72,608,20:50,Present
186,34,Male,Monthly,Yoga,94,690,06:17,Absent
187,51,Other,Quarterly,HIIT,108,611,17:40,Absent
188,59,Female,Monthly,HIIT,71,641,13:46,Absent
189,53,Female,Quarterly,Strength Training,98,900,12:30,Absent
190,60,Female,Monthly,Strength Training,109,780,11:36,Absent
191,40,Female,Quarterly,Cardio,20,113,11:29,Absent
192,62,Female,Monthly,Yoga,31,247,13:27,Present
193,52,Male,Annual,HIIT,73,456,18:31,Absent
194,55,Other,Quarterly,Cardio,105,931,12:24,Present
195,30,Male,Annual,Cardio,25,212,14:50,Present
196,41,Other,Annual,CrossFit,102,944,08:55,Absent
197,39,Female,Quarterly,Yoga,78,666,12:57,Absent
198,31,Male,Quarterly,HIIT,33,206,10:45,Present
199,61,Other,Monthly,HIIT,106,706,22:05,Present
200,48,Other,Quarterly,HIIT,68,565,21:24,Absent
201,46,Female,Quarterly,Strength Training,27,246,06:22,Absent
202,49,Male,Annual,Cardio,72,591,11:22,Absent
203,39,Other,Monthly,CrossFit,52,486,10:01,Absent
204,24,Male,Monthly,Cardio,51,275,11:41,Absent
205,43,Male,Annual,Strength Training,36,301,14:28,Present
206,56,Female,Annual,CrossFit,74,398,19:03,Present
207,57,Male,Annual,Cardio,64,474,10:09,Present
208,54,Female,Monthly,Strength Training,62,613,10:30,Present
209,25,Male,Quarterly,Cardio,106,766,19:32,Absent
210,49,Male,Annual,Cardio,120,614,15:58,Absent
211,52,Other,Quarterly,Yoga,101,548,15:07,Present
212,50,Female,Quarterly,HIIT,69,655,14:23,Absent
213,50,Female,Quarterly,CrossFit,34,266,09:27,Present
214,64,Female,Monthly,Strength Training,98,769,17:20,Absent
215,38,Female,Annual,Cardio,111,1025,21:15,Present
216,27,Male,Monthly,Cardio,70,540,14:34,Absent
217,41,Other,Annual,Yoga,83,741,17:44,Absent
218,52,Male,Annual,Strength Training,92,852,17:03,Present
219,62,Other,Monthly,CrossFit,58,368,17:22,Absent
220,28,Male,Annual,HIIT,26,169,15:20,Present
221,58,Female,Annual,Strength Training,59,466,09:17,Present
222,53,Female,Annual,Strength Training,89,593,22:39,Present
223,52,Other,Monthly,HIIT,78,608,14:51,Present
224,58,Female,Monthly,HIIT,23,227,22:05,Present
225,27,Male,Monthly,Yoga,116,816,22:37,Present
226,64,Male,Monthly,CrossFit,44,234,16:01,Absent
227,24,Male,Quarterly,Strength Training,53,489,07:04,Present
228,43,Male,Monthly,CrossFit,29,205,07:21,Present
229,40,Other,Annual,Yoga,47,235,16:19,Absent
230,41,Other,Quarterly,Cardio,85,512,07:31,Absent
231,56,Other,Monthly,CrossFit,64,561,17:26,Absent
232,25,Female,Annual,HIIT,45,404,12:57,Absent
233,53,Male,Quarterly,HIIT,30,223,12:27,Absent
234,18,Other,Annual,Cardio,42,248,11:51,Present
235,20,Female,Quarterly,Strength Training,78,619,11:09,Present
236,36,Female,Quarterly,Yoga,87,725,20:26,Absent
237,50,Female,Annual,Yoga,117,959,11:35,Present
238,62,Male,Monthly,Cardio,69,600,15:31,Absent
239,36,Other,Annual,Cardio,94,735,15:39,Present
240,30,Other,Annual,CrossFit,48,437,10:40,Absent
241,33,Male,Annual,Yoga,101,714,11:18,Present
242,55,Other,Monthly,Strength Training,105,867,05:35,Absent
243,29,Other,Annual,Strength Training,112,654,16:57,Present
244,64,Other,Annual,Strength Training,102,549,05:57,Absent
245,44,Other,Annual,Strength Training,63,452,11:49,Absent
246,18,Male,Annual,HIIT,36,328,05:12,Present
247,47,Male,Quarterly,Strength Training,109,1040,19:58,Absent
248,43,Male,Monthly,CrossFit,27,204,18:27,Present
249,22,Male,Annual,Yoga,65,428,12:41,Absent
250,50,Other,Monthly,CrossFit,58,505,22:17,Absent
251,41,Other,Monthly,HIIT,68,465,21:12,Present
252,60,Other,Monthly,Yoga,77,446,19:33,Absent
253,29,Male,Annual,Strength Training,52,431,14:57,Present
254,19,Male,Annual,Strength Training,40,362,10:13,Absent
255,45,Other,Annual,Cardio,84,476,06:12,Absent
256,53,Male,Monthly,Cardio,112,733,06:38,Present
257,35,Male,Annual,Yoga,108,785,12:31,Present
258,40,Male,Quarterly,CrossFit,92,782,08:39,Present
259,49,Female,Quarterly,Cardio,87,622,18:24,Present
260,24,Female,Annual,Strength Training,80,512,21:10,Absent
261,45,Other,Quarterly,Cardio,56,491,06:08,Absent
262,39,Female,Annual,CrossFit,31,171,15:47,Absent
263,48,Female,Quarterly,Yoga,44,396,14:12,Absent
264,55,Male,Monthly,Yoga,35,320,12:05,Present
265,62,Female,Annual,Strength Training,75,639,17:48,Present
266,64,Other,Monthly,Yoga,26,192,18:21,Present
267,26,Other,Annual,Strength Training,78,500,15:38,Absent
268,33,Female,Monthly,CrossFit,31,164,22:28,Absent
269,49,Male,Quarterly,Strength Training,70,378,13:14,Present
270,59,Female,Annual,HIIT,32,272,13:18,Absent
271,63,Male,Quarterly,Yoga,120,1058,12:00,Absent
272,23,Female,Quarterly,Strength Training,35,210,21:41,Absent
273,65,Other,Annual,HIIT,36,279,11:56,Absent
274,18,Other,Quarterly,Cardio,85,499,12:55,Absent
275,53,Female,Annual,HIIT,61,415,13:41,Absent
276,26,Female,Monthly,Cardio,53,429,20:38,Present
277,25,Female,Quarterly,HIIT,106,640,22:52,Present
278,38,Female,Quarterly,Cardio,114,1087,08:38,Absent
279,21,Female,Annual,HIIT,44,302,16:00,Absent
280,58,Male,Monthly,Yoga,34,201,12:40,Present
281,35,Female,Quarterly,HIIT,88,618,19:08,Present
282,27,Other,Annual,Cardio,32,310,13:27,Present
283,24,Female,Monthly,Cardio,50,366,14:26,Absent
284,19,Other,Quarterly,CrossFit,89,848,20:00,Absent
285,61,Other,Monthly,Cardio,57,303,07:24,Absent
286,19,Female,Annual,Cardio,98,931,16:39,Absent
287,22,Other,Annual,Strength Training,114,939,05:36,Present
288,53,Other,Annual,Cardio,29,177,14:50,Absent
289,58,Other,Annual,Cardio,107,629,06:01,Absent
290,20,Female,Monthly,HIIT,113,1049,07:49,Absent
291,30,Male,Monthly,Yoga,95,668,11:28,Present
292,60,Female,Quarterly,Yoga,119,994,17:54,Present
293,26,Male,Annual,Strength Training,97,876,21:35,Present
294,49,Female,Monthly,Cardio,89,655,13:23,Present
295,64,Female,Monthly,CrossFit,54,404,05:23,Present
296,41,Other,Annual,Yoga,72,642,05:02,Present
297,52,Female,Quarterly,CrossFit,94,588,09:11,Absent
298,24,Male,Monthly,Yoga,116,871,14:57,Absent
299,47,Female,Quarterly,Cardio,120,900,10:31,Absent
300,62,Other,Monthly,CrossFit,92,853,13:32,Present
301,59,Male,Annual,CrossFit,42,283,22:14,Present
302,38,Male,Monthly,HIIT,23,226,10:23,Absent
303,50,Male,Quarterly,CrossFit,92,797,13:33,Absent
304,57,Male,Annual,Cardio,108,949,06:48,Absent
305,42,Other,Annual,Cardio,46,396,08:09,Present
306,65,Male,Monthly,Strength Training,104,941,11:11,Absent
307,23,Other,Monthly,Yoga,83,481,05:58,Present
308,39,Male,Quarterly,Strength Training,91,830,22:57,Present
309,19,Other,Monthly,Cardio,76,669,08:30,Present
310,19,Female,Quarterly,Strength Training,46,380,12:44,Absent
311,37,Other,Quarterly,CrossFit,120,964,22:42,Present
312,31,Other,Quarterly,Cardio,54,441,17:00,Absent
313,62,Female,Annual,HIIT,100,935,05:21,Present
314,40,Other,Monthly,Yoga,99,599,11:27,Absent
315,19,Male,Monthly,CrossFit,79,535,19:03,Present
316,28,Other,Quarterly,Cardio,75,422,22:21,Absent
317,36,Other,Monthly,Yoga,74,528,12:43,Present
318,59,Female,Annual,Yoga,120,797,18:31,Present
319,49,Male,Annual,HIIT,33,226,12:39,Absent
320,35,Female,Monthly,Cardio,107,543,19:37,Absent
321,64,Male,Annual,Yoga,98,494,07:07,Present
322,61,Other,Quarterly,Strength Training,69,388,06:24,Absent
323,57,Female,Quarterly,CrossFit,24,144,08:56,Absent
324,47,Male,Annual,Strength Training,70,512,21:52,Present
325,52,Male,Annual,HIIT,76,390,11:07,Present
326,64,Male,Annual,Strength Training,35,198,21:54,Present
327,50,Male,Quarterly,Yoga,31,305,09:53,Absent
328,27,Male,Quarterly,CrossFit,90,551,07:48,Absent
329,35,Female,Monthly,HIIT,51,453,14:58,Present
330,63,Other,Annual,HIIT,47,340,05:44,Present
331,56,Other,Quarterly,HIIT,62,315,22:33,Present
332,57,Male,Quarterly,Yoga,64,609,13:29,Absent
333,51,Female,Quarterly,CrossFit,92,599,14:54,Absent
334,58,Male,Monthly,Cardio,24,168,08:41,Present
335,53,Female,Annual,Cardio,80,755,14:04,Present
336,34,Other,Monthly,Cardio,29,210,10:34,Absent
337,57,Female,Quarterly,CrossFit,118,760,05:28,Present
338,20,Female,Monthly,Cardio,116,1075,12:14,Present
339,43,Other,Quarterly,CrossFit,36,285,09:34,Present
340,27,Female,Quarterly,HIIT,100,750,15:38,Present
341,36,Male,Monthly,CrossFit,46,257,11:09,Absent
342,50,Male,Monthly,Yoga,37,327,15:34,Present
343,27,Female,Monthly,Strength Training,48,354,21:09,Absent
344,32,Other,Annual,CrossFit,119,1118,15:13,Absent
345,44,Male,Annual,HIIT,20,180,13:36,Present
346,26,Female,Quarterly,Cardio,118,813,12:44,Present
347,33,Female,Quarterly,HIIT,104,814,17:55,Absent
348,22,Male,Monthly,Strength Training,53,396,11:21,Absent
349,36,Male,Monthly,Cardio,84,756,06:51,Present
350,60,Other,Monthly,Yoga,83,750,07:21,Present
351,28,Female,Monthly,Cardio,35,203,07:10,Present
352,53,Other,Annual,CrossFit,79,448,15:58,Present
353,58,Other,Quarterly,Cardio,25,201,18:19,Absent
354,20,Male,Monthly,Cardio,116,997,19:31,Present
355,46,Other,Quarterly,Cardio,66,621,17:54,Present
356,65,Male,Monthly,Strength Training,73,605,13:44,Absent
357,26,Female,Annual,Cardio,52,462,07:12,Absent
358,48,Other,Annual,CrossFit,74,719,12:34,Absent
359,59,Female,Annual,HIIT,48,332,13:08,Present
360,47,Male,Quarterly,HIIT,31,192,21:19,Absent
361,38,Other,Monthly,Cardio,111,900,21:55,Present
362,49,Male,Quarterly,Strength Training,56,504,14:12,Present
363,40,Male,Monthly,Cardio,36,272,17:17,Present
364,33,Other,Monthly,HIIT,108,813,08:12,Present
365,38,Male,Quarterly,Yoga,56,347,05:30,Present
366,30,Male,Monthly,HIIT,80,611,18:32,Present
367,22,Male,Monthly,Yoga,80,659,22:05,Present
368,40,Other,Annual,HIIT,55,511,16:35,Absent
369,44,Male,Monthly,CrossFit,92,642,19:37,Present
370,59,Female,Monthly,Cardio,40,391,14:28,Present
371,54,Female,Annual,Yoga,63,389,19:28,Present
372,51,Female,Monthly,Strength Training,55,424,09:40,Present
373,45,Female,Quarterly,Yoga,46,418,18:07,Present
374,34,Male,Monthly,Strength Training,21,107,06:46,Absent
375,51,Female,Monthly,CrossFit,63,448,15:33,Absent
376,44,Male,Quarterly,Strength Training,99,671,09:12,Absent
377,48,Other,Quarterly,Cardio,45,404,16:49,Absent
378,18,Other,Annual,Cardio,27,158,08:44,Absent
379,51,Female,Quarterly,Yoga,52,390,12:14,Absent
380,51,Male,Monthly,Cardio,63,476,11:59,Present
381,64,Male,Annual,Strength Training,59,369,15:39,Present
382,40,Male,Quarterly,Cardio,75,671,06:07,Absent
383,23,Other,Quarterly,Strength Training,35,203,07:42,Absent
384,20,Other,Monthly,Cardio,85,835,05:18,Absent
385,54,Other,Annual,Cardio,43,385,14:59,Absent
386,59,Male,Quarterly,Cardio,71,551,16:52,Present
387,61,Male,Annual,HIIT,28,175,19:10,Absent
388,39,Other,Monthly,HIIT,77,545,12:46,Absent
389,52,Male,Monthly,CrossFit,71,441,22:05,Absent
390,42,Male,Quarterly,Strength Training,87,621,16:36,Present
391,57,Male,Annual,Cardio,101,993,09:06,Absent
392,56,Female,Annual,Yoga,105,947,21:19,Present
393,57,Male,Quarterly,Cardio,102,729,06:47,Present
394,45,Other,Quarterly,Yoga,112,960,13:16,Absent
395,39,Other,Quarterly,Strength Training,89,774,09:44,Present
396,18,Other,Monthly,CrossFit,109,634,07:17,Present
397,49,Female,Annual,CrossFit,115,798,18:00,Absent
398,40,Female,Quarterly,CrossFit,45,245,08:28,Absent
399,46,Other,Annual,HIIT,97,841,10:20,Present
400,51,Male,Annual,CrossFit,57,393,18:56,Absent
401,30,Male,Monthly,Strength Training,54,418,13:13,Absent
402,41,Female,Annual,Strength Training,73,613,11:10,Absent
403,19,Female,Annual,HIIT,113,663,09:09,Absent
404,38,Female,Monthly,Yoga,43,281,12:05,Absent
405,58,Other,Annual,Yoga,92,575,20:35,Absent
406,34,Other,Annual,Cardio,62,539,09:29,Present
407,44,Other,Annual,CrossFit,68,515,21:32,Absent
408,63,Female,Monthly,Yoga,96,733,17:25,Absent
409,56,Male,Annual,CrossFit,26,215,10:08,Absent
410,48,Other,Annual,CrossFit,57,351,22:34,Absent
411,28,Female,Annual,HIIT,48,282,08:13,Present
412,46,Female,Monthly,HIIT,62,408,07:25,Absent
413,31,Other,Monthly,CrossFit,74,714,18:01,Present
414,56,Male,Annual,HIIT,49,262,15:35,Absent
415,33,Female,Monthly,HIIT,53,442,21:00,Absent
416,39,Other,Quarterly,Strength Training,56,444,10:35,Absent
417,30,Male,Quarterly,Cardio,96,947,16:48,Present
418,50,Male,Monthly,HIIT,34,240,13:30,Absent
419,41,Female,Annual,HIIT,74,433,11:54,Absent
420,58,Male,Annual,Strength Training,83,420,06:07,Present
421,56,Female,Monthly,Cardio,85,463,12:43,Absent
422,60,Female,Annual,CrossFit,77,386,21:26,Absent
423,48,Male,Annual,Strength Training,101,810,11:43,Absent
424,44,Male,Quarterly,Strength Training,29,243,15:00,Present
425,33,Female,Monthly,Strength Training,101,767,18:34,Absent
426,27,Female,Annual,HIIT,75,477,13:11,Present
427,29,Female,Quarterly,Yoga,57,462,11:21,Present
428,46,Male,Quarterly,HIIT,39,318,10:53,Present
429,53,Female,Quarterly,Cardio,33,275,05:31,Absent
430,54,Female,Monthly,Cardio,60,450,17:47,Absent
431,22,Female,Quarterly,HIIT,116,1087,12:40,Present
432,48,Other,Monthly,HIIT,87,857,22:16,Present
433,27,Other,Annual,CrossFit,114,992,20:46,Absent
434,49,Male,Monthly,Cardio,85,669,07:10,Present
435,33,Other,Quarterly,CrossFit,78,761,21:47,Absent
436,55,Female,Monthly,Strength Training,34,255,08:04,Present
437,49,Male,Annual,HIIT,41,366,11:13,Absent
438,32,Other,Monthly,Strength Training,28,223,10:43,Absent
439,30,Other,Monthly,Strength Training,55,319,07:06,Present
440,64,Male,Monthly,HIIT,62,442,07:37,Present
441,31,Male,Quarterly,Cardio,22,165,11:19,Absent
442,54,Female,Monthly,HIIT,102,981,19:42,Absent
443,44,Male,Quarterly,HIIT,91,631,19:16,Present
444,64,Female,Annual,Strength Training,63,624,08:32,Absent
445,52,Other,Quarterly,HIIT,109,617,22:05,Present
446,42,Female,Monthly,HIIT,67,443,20:58,Absent
447,31,Other,Monthly,CrossFit,86,485,11:55,Absent
448,54,Other,Monthly,Strength Training,81,808,15:34,Present
449,47,Female,Monthly,Cardio,69,663,19:27,Present
450,28,Male,Quarterly,Strength Training,40,335,12:43,Present
451,46,Female,Quarterly,Cardio,86,662,13:56,Present
452,26,Female,Monthly,Yoga,98,584,07:37,Present
453,58,Female,Quarterly,Strength Training,51,396,10:32,Absent
454,27,Other,Quarterly,Strength Training,97,957,21:06,Present
455,36,Other,Quarterly,Cardio,119,1186,19:07,Present
456,49,Other,Annual,Strength Training,43,347,12:10,Absent
457,18,Male,Annual,Yoga,24,125,10:25,Present
458,58,Other,Monthly,HIIT,79,408,11:49,Present
459,42,Female,Annual,Strength Training,79,556,13:11,Absent
460,50,Female,Quarterly,HIIT,93,899,16:09,Absent
461,55,Female,Annual,HIIT,28,218,16:10,Absent
462,22,Female,Annual,Yoga,44,299,21:53,Absent
463,51,Male,Annual,CrossFit,31,230,07:39,Present
464,27,Other,Annual,Yoga,52,279,15:57,Absent
465,24,Other,Annual,Strength Training,47,349,10:31,Present
466,34,Female,Quarterly,Yoga,22,159,20:22,Present
467,21,Female,Monthly,Strength Training,76,526,09:48,Absent
468,36,Female,Monthly,Strength Training,37,338,16:12,Absent
469,20,Male,Quarterly,Strength Training,119,695,18:15,Present
470,28,Female,Monthly,CrossFit,96,545,22:35,Present
471,48,Female,Quarterly,Strength Training,38,299,05:06,Present
472,25,Other,Annual,Strength Training,99,705,22:23,Present
473,34,Male,Annual,Cardio,118,685,06:41,Present
474,60,Other,Annual,Yoga,67,536,08:31,Present
475,61,Female,Annual,HIIT,101,913,09:25,Absent
476,35,Female,Annual,Strength Training,82,538,19:53,Present
477,28,Male,Monthly,Yoga,89,728,14:30,Absent
478,34,Male,Annual,Cardio,41,300,20:48,Present
479,28,Other,Annual,Cardio,96,537,22:17,Present
480,49,Other,Monthly,CrossFit,54,384,11:59,Absent
